dim	coefficient
116	-0.04122892
117	0.029572777
118	0.019609904
119	-0.013954159
120	-0.012069361
121	-0.024590932
122	-0.028604563
123	0.020324286
124	0.054446362
125	-0.05843571
126	-0.027591035
127	-0.04447366
128	0.020546956
129	0.06444355
130	0.047361374
131	-0.07639317
132	0.02702462
133	-0.071443856
134	0.071219206
135	-0.0074601825
136	-0.0005292633
137	0.002101954
138	-0.054667115
139	0.0039596744
140	-0.015266397
141	-0.018587396
142	-0.036140814
143	0.01092961
144	-0.00052446127
145	0.0797777
146	-0.043236647
147	0.03336812
148	0.044279423
149	-0.016313098
150	-0.005385331
151	-0.041321352
152	-0.019533107
153	-0.046046242
154	0.00077072333
155	-0.034376256
156	0.03881394
157	-0.065266505
158	0.040102497
159	-0.05522975
160	0.08594725
161	0.006555027
162	0.03161287
163	0.060078714
164	0.033616748
165	0.010668673
166	-0.045767125
167	0.14149183
168	0.09176643
169	0.07488748
170	-0.0049558487
171	-0.07244294
172	0.01787209
173	0.053666323
174	0.05429261
175	0.017506024
176	-0.07108439
177	-0.08891
178	-0.05055103
179	0.02286013
180	0.037592057
181	-0.047131687
182	0.048735797
183	-0.029945303
184	-0.02880217
185	0.011722
186	0.017391115
187	0.07416424
188	0.06439464
189	-0.03009266
190	0.037185524
191	0.05678767
192	-0.004327337
193	-0.05690898
194	0.055412237
195	-0.046499904
196	0.06800391
197	-0.046916105
198	-0.024532981
199	0.076293014
200	-0.061621275
201	0.06712821
202	0.026149757
203	0.04793739
204	0.0038990802
205	-0.06254742
206	0.012774693
207	-0.008198444
208	0.0033451468
209	-0.0702991
210	-0.021173451
211	-0.03877149
212	0.057519272
213	-0.052021742
214	-0.041887097
215	-0.1553311
216	0.08088259
217	0.07338907
218	-0.0064314585
219	-0.0698629
220	-0.06536324
221	-0.09004654
222	0.074198574
223	0.003542028
224	0.008916238
225	0.0023355773
226	-0.02139226
227	-0.051393982
228	-0.04879652
229	-0.106732205
230	0.09599441
231	-0.012967487
232	-0.063225985
233	-0.06518032
